,date,year,month,day,weekday,weekday_name,weeknumber,is_weekend,is_business_day,is_holiday,holiday_name
254,2013-09-12,2013,9,12,4,Thursday,37,False,True,False,
255,2013-09-13,2013,9,13,5,Friday,37,False,True,False,
256,2013-09-14,2013,9,14,6,Saturday,37,True,False,False,
257,2013-09-15,2013,9,15,7,Sunday,37,True,False,False,
258,2013-09-16,2013,9,16,1,Monday,38,False,True,False,
259,2013-09-17,2013,9,17,2,Tuesday,38,False,True,False,
260,2013-09-18,2013,9,18,3,Wednesday,38,False,True,False,
261,2013-09-19,2013,9,19,4,Thursday,38,False,True,False,
262,2013-09-20,2013,9,20,5,Friday,38,False,True,False,
263,2013-09-21,2013,9,21,6,Saturday,38,True,False,False,
264,2013-09-22,2013,9,22,7,Sunday,38,True,False,False,
265,2013-09-23,2013,9,23,1,Monday,39,False,True,False,
266,2013-09-24,2013,9,24,2,Tuesday,39,False,True,False,
267,2013-09-25,2013,9,25,3,Wednesday,39,False,True,False,
268,2013-09-26,2013,9,26,4,Thursday,39,False,True,False,
269,2013-09-27,2013,9,27,5,Friday,39,False,True,False,
270,2013-09-28,2013,9,28,6,Saturday,39,True,False,False,
271,2013-09-29,2013,9,29,7,Sunday,39,True,False,False,
272,2013-09-30,2013,9,30,1,Monday,40,False,True,False,
273,2013-10-01,2013,10,1,2,Tuesday,40,False,True,False,
274,2013-10-02,2013,10,2,3,Wednesday,40,False,True,False,
275,2013-10-03,2013,10,3,4,Thursday,40,False,True,False,
276,2013-10-04,2013,10,4,5,Friday,40,False,True,False,
277,2013-10-05,2013,10,5,6,Saturday,40,True,False,False,
278,2013-10-06,2013,10,6,7,Sunday,40,True,False,False,
279,2013-10-07,2013,10,7,1,Monday,41,False,True,False,
280,2013-10-08,2013,10,8,2,Tuesday,41,False,True,False,
281,2013-10-09,2013,10,9,3,Wednesday,41,False,True,False,
282,2013-10-10,2013,10,10,4,Thursday,41,False,True,False,
283,2013-10-11,2013,10,11,5,Friday,41,False,True,False,
284,2013-10-12,2013,10,12,6,Saturday,41,True,False,False,
285,2013-10-13,2013,10,13,7,Sunday,41,True,False,False,
286,2013-10-14,2013,10,14,1,Monday,42,False,True,False,
287,2013-10-15,2013,10,15,2,Tuesday,42,False,True,False,
288,2013-10-16,2013,10,16,3,Wednesday,42,False,True,False,
289,2013-10-17,2013,10,17,4,Thursday,42,False,True,False,
290,2013-10-18,2013,10,18,5,Friday,42,False,True,False,
291,2013-10-19,2013,10,19,6,Saturday,42,True,False,False,
292,2013-10-20,2013,10,20,7,Sunday,42,True,False,False,
293,2013-10-21,2013,10,21,1,Monday,43,False,True,False,
294,2013-10-22,2013,10,22,2,Tuesday,43,False,True,False,
295,2013-10-23,2013,10,23,3,Wednesday,43,False,True,False,
296,2013-10-24,2013,10,24,4,Thursday,43,False,True,False,
297,2013-10-25,2013,10,25,5,Friday,43,False,True,False,
298,2013-10-26,2013,10,26,6,Saturday,43,True,False,False,
299,2013-10-27,2013,10,27,7,Sunday,43,True,False,False,
300,2013-10-28,2013,10,28,1,Monday,44,False,True,False,
301,2013-10-29,2013,10,29,2,Tuesday,44,False,True,False,
302,2013-10-30,2013,10,30,3,Wednesday,44,False,True,False,
303,2013-10-31,2013,10,31,4,Thursday,44,False,True,False,
304,2013-11-01,2013,11,1,5,Friday,44,False,True,False,
305,2013-11-02,2013,11,2,6,Saturday,44,True,False,False,
306,2013-11-03,2013,11,3,7,Sunday,44,True,False,False,
307,2013-11-04,2013,11,4,1,Monday,45,False,False,True,День народного единства
308,2013-11-05,2013,11,5,2,Tuesday,45,False,True,False,
309,2013-11-06,2013,11,6,3,Wednesday,45,False,True,False,
310,2013-11-07,2013,11,7,4,Thursday,45,False,True,False,
311,2013-11-08,2013,11,8,5,Friday,45,False,True,False,
312,2013-11-09,2013,11,9,6,Saturday,45,True,False,False,
313,2013-11-10,2013,11,10,7,Sunday,45,True,False,False,
314,2013-11-11,2013,11,11,1,Monday,46,False,True,False,
315,2013-11-12,2013,11,12,2,Tuesday,46,False,True,False,
316,2013-11-13,2013,11,13,3,Wednesday,46,False,True,False,
317,2013-11-14,2013,11,14,4,Thursday,46,False,True,False,
318,2013-11-15,2013,11,15,5,Friday,46,False,True,False,
319,2013-11-16,2013,11,16,6,Saturday,46,True,False,False,
320,2013-11-17,2013,11,17,7,Sunday,46,True,False,False,
321,2013-11-18,2013,11,18,1,Monday,47,False,True,False,
322,2013-11-19,2013,11,19,2,Tuesday,47,False,True,False,
323,2013-11-20,2013,11,20,3,Wednesday,47,False,True,False,
324,2013-11-21,2013,11,21,4,Thursday,47,False,True,False,
325,2013-11-22,2013,11,22,5,Friday,47,False,True,False,
326,2013-11-23,2013,11,23,6,Saturday,47,True,False,False,
327,2013-11-24,2013,11,24,7,Sunday,47,True,False,False,
328,2013-11-25,2013,11,25,1,Monday,48,False,True,False,
329,2013-11-26,2013,11,26,2,Tuesday,48,False,True,False,
330,2013-11-27,2013,11,27,3,Wednesday,48,False,True,False,
331,2013-11-28,2013,11,28,4,Thursday,48,False,True,False,
332,2013-11-29,2013,11,29,5,Friday,48,False,True,False,
333,2013-11-30,2013,11,30,6,Saturday,48,True,False,False,
334,2013-12-01,2013,12,1,7,Sunday,48,True,False,False,
335,2013-12-02,2013,12,2,1,Monday,49,False,True,False,
336,2013-12-03,2013,12,3,2,Tuesday,49,False,True,False,
337,2013-12-04,2013,12,4,3,Wednesday,49,False,True,False,
